distribution,distribution_params,variance_kind,L,variance,log_variance,log_log_L,log_variance_over_log_log_L
exponential,{},quenched,1024,4.8101666666666665,1.5707317335520212,1.9360721724123813,0.81129813027314
exponential,{},annealed,2048,5.074084168336672,1.624146049202037,2.0313823522167063,0.799527497829111
exponential,{},quenched,2048,4.689,1.5452193401074492,2.0313823522167063,0.7606738034428914
exponential,{},annealed,4096,6.056637274549098,1.8011547408744413,2.118393729206336,0.8502455025436894
exponential,{},quenched,4096,5.721,1.7441436152863916,2.118393729206336,0.8233330712982433
gamma,"{""shape"":0.5}",annealed,16,1.9169833566713352,0.650752782059901,1.0197814405382262,0.6381296581711106
gamma,"{""shape"":0.5}",quenched,16,1.545711111111111,0.43548407055109584,1.0197814405382262,0.42703667005476537
gamma,"{""shape"":0.5}",annealed,32,2.4912316863372683,0.9127772413235746,1.242924991852436,0.7343783794733949
gamma,"{""shape"":0.5}",quenched,32,2.063511111111111,0.7244089547906772,1.242924991852436,0.5828259625796319
gamma,"{""shape"":0.5}",annealed,64,3.109874734946988,1.1345824472278623,1.4252465486463906,0.7960604769086564
gamma,"{""shape"":0.5}",quenched,64,2.5414444444444446,0.9327325983090032,1.4252465486463906,0.6544359635144207
gamma,"{""shape"":0.5}",annealed,128,3.6909895579115783,1.3058945949762841,1.5793972284736488,0.8268310032671886
gamma,"{""shape"":0.5}",quenched,128,3.0173777777777784,1.1043881687045252,1.5793972284736488,0.6992466168702988
gamma,"{""shape"":0.5}",annealed,256,4.342921024204839,1.4685471687695297,1.7129286210981716,0.8573312108171985
gamma,"{""shape"":0.5}",quenched,256,3.5811777777777776,1.2756917345139385,1.7129286210981716,0.7447430784921341
gamma,"{""shape"":0.5}",annealed,512,4.843879775955191,1.577716006215874,1.830711656754555,0.8618047524823291
gamma,"{""shape"":0.5}",quenched,512,4.047844444444444,1.3981845034909801,1.830711656754555,0.7637382426294541
gamma,"{""shape"":0.5}",annealed,1024,5.432222444488897,1.6923483401706783,1.9360721724123813,0.8741142836953135
gamma,"{""shape"":0.5}",quenched,1024,4.429600000000001,1.4883092865266205,1.9360721724123813,0.7687261393113047
gamma,"{""shape"":0.5}",annealed,2048,6.273603206412826,1.8363508636519525,2.0313823522167063,0.9039907537092023
gamma,"{""shape"":0.5}",quenched,2048,5.257000000000001,1.659560521837311,2.0313823522167063,0.8169611791824164
gamma,"{""shape"":0.5}",annealed,4096,5.849599198396791,1.7663731458020702,2.118393729206336,0.8338266496209127
gamma,"{""shape"":0.5}",quenched,4096,5.22,1.6524974018945473,2.118393729206336,0.7800709467326744
gamma,"{""shape"":1.0}",annealed,16,2.020600880176037,0.7033949326127248,1.0197814405382262,0.6897506707334102
gamma,"{""shape"":1.0}",quenched,16,1.8241111111111112,0.6010928059761619,1.0197814405382262,0.5894329726759036
gamma,"{""shape"":1.0}",annealed,32,2.649920960480238,0.9745298133194473,1.242924991852436,0.7840616446749721
gamma,"{""shape"":1.0}",quenched,32,2.4032222222222224,0.8768104294749453,1.242924991852436,0.7054411450590921
gamma,"{""shape"":1.0}",annealed,64,2.9971745872936433,1.097670040656393,1.4252465486463906,0.7701615146508448
gamma,"{""shape"":1.0}",quenched,64,2.688333333333334,0.9889214229090627,1.4252465486463906,0.6938598966250983
gamma,"{""shape"":1.0}",annealed,128,3.7309592296148093,1.3166653667107573,1.5793972284736488,0.8336505490662414
gamma,"{""shape"":1.0}",quenched,128,3.3480555555555553,1.2083797461441421,1.5793972284736488,0.7650891899512429
gamma,"{""shape"":1.0}",annealed,256,4.032916208104053,1.3944897391080888,1.7129286210981716,0.8140968175393501
gamma,"{""shape"":1.0}",quenched,256,3.7882777777777776,1.3319115036219882,1.7129286210981716,0.7775639260251777
